1,8
1,30
1,43
1,72
2,8
2,13
2,41
2,43
3,9
3,11
3,95
4,11
5,18
5,30
5,66
5,104
6,48
6,66
6,92
7,24
7,41
7,68
7,88
7,108
8,54
9,24
9,31
9,83
9,102
9,118
10,35
10,65
10,70
11,23
12,24
12,55
12,80
12,106
13,68
13,98
13,102
13,112
14,65
15,88
16,31
16,64
16,69
17,19
17,22
17,39
18,82
19,36
19,91
19,111
20,51
20,63
20,89
21,83
22,36
22,64
22,69
22,84
22,95
23,52
23,91
23,93
23,111
24,45
24,101
24,111
25,47
25,67
25,118
26,52
27,85
28,64
29,110
31,66
31,71
31,94
32,108
32,114
33,47
33,49
33,121
34,37
34,73
34,87
34,108
36,56
36,74
36,89
37,65
37,84
37,110
38,64
39,61
40,79
41,47
41,57
42,75
44,118
45,47
46,56
49,62
49,87
49,105
50,95
51,52
53,72
54,74
55,61
55,81
55,86
55,115
56,120
57,64
57,71
57,78
57,86
57,98
57,121
58,60
58,77
58,83
59,90
59,111
61,74
61,85
61,101
63,117
64,73
64,97
64,98
64,109
65,77
65,99
65,107
66,110
68,85
68,91
69,74
69,75
69,94
69,96
71,91
72,97
74,82
74,115
74,116
75,113
76,78
76,84
77,104
78,89
79,109
80,104
81,90
82,113
83,106
84,115
85,103
89,100
91,100
91,113
93,101
94,118
95,117
96,105
96,119
97,106
98,99
100,109
102,103
105,117
107,108
